,no,type,people,org,article,comm
82,14,新聞攝影獎,陳孔顧，一九六七年生，台灣省嘉義縣人。文化大學新聞系畢業現任中國時報影像中心攝影記者。,中國時報,「快」意小市民,作者掌握住台北市警局在聯外橋樑取締違規機車的機會，拍下這副對比性極強的照片：一邊是壅塞在一處的機車，一邊是面帶微笑在人行道上疾行的自行車，讓讀者在都市生活的無奈中找到極高的趣味性。
83,14,新聞漫畫獎,從缺,從缺,從缺,從缺
84,14,雜誌新聞報導獎,邱花妹，一九六九年生，台灣省嘉義縣人。國立清華大學社會人類研究所碩士，現任天下雜誌採訪編輯。沈嘉信，一九七一年生，台灣省嘉義縣人。國立清華大學社會人類研究所碩士，現任天下雜誌採訪編輯。,天下雜誌社,廢土內幕探索,本系列報導深入探討台灣廢土與工業廢棄物之處理問題，從問題的發覺到提出兼顧環保與經濟發展的解決方案，不僅可見作者對於呼籲政府重視此一議題及亟待解決問題的關切，同時也可見作者對提供方案解決本問題的努力。企劃面向完整採訪對象恰當，分析亦夠深入。
85,15,新聞專題報導獎,李彥甫，一九六九年生，台北市人。國立清華大學電機系畢業，現任聯合報科學新聞記者。,聯合報,基因科技的社會意涵專題報導,基因科技對人類的生態環境有關鍵的影響，是進入二十一世紀科技及人類生活進展的重要指標之一。作者廣泛訪問專家學者，蒐集豐富資料，從理論、法律、社會等層面深入探訪報導，系統呈現大眾對基因科技應加關注的問題，頗具前瞻性。類此專門性報導，如能做更「深入淺出」的處理將更增一般讀者的閱讀興趣，引發普遍深切的關懷與省思。
86,15,新聞採訪報導獎,梁玉芳，一九六六年生，福建省安南縣人。國立政治大學新聞研究所碩士，現任聯合報採訪記者。江中明，一九六0年生，福建省福州市人。私立東海大學歷史系畢業，現任聯合報資深記者。林以君，一九六六年生，山東省即墨縣人。國立體育學院運動社會學碩士，現任聯合報採訪記者。林河名，一九六七年，台灣省台南縣人。私立東海大學法學碩士，現任聯合報採訪記者。,聯合報,總統大選「深入現場」專題報導,系統規劃，深入不同背景特地基層實地訪問，透過民眾的心聲，反應對選舉活動及候選人的觀感，間接溢現政壇與基層大眾的距離，在大選的新聞報導中獨樹一幟。多篇取材處理，透過現場人物的語言、衣著、居住環境，地方背景的描繪，烘托出具體生動的親切感，真實感，使嚴肅的話題不陷於刻板，枯燥。採訪與報導的表現，均為突出。
87,15,新聞評論獎,黃年，一九四六年生，江蘇生溧陽縣人。國立政治大學政研所碩士，現任聯合報總主筆。,聯合報,政黨輪替的憲政轉型,得獎人在今年總統大選前，即針對政黨輪替的訴求加以剖析，選後再就輪替的各種效應予以評論。前後見解一貫，強調台灣民主憲政以發展到非變不可的時候，而又有賴政治人物真正掌握社會脈動，去除私念，既提供多重觀點的思考，又發揮了媒體的規諫功能，誠屬難能可貴。
88,15,地方新聞獎,潘國正，一九五七年生，台灣省新竹市人。國立交通大學傳研所碩士，現任中國時報特派員。何高祿，一九四八年生，河南省洛陽市人。國立中華大學經營館理科研究生，現任中國時報地方新聞新聞採訪召集人。陳權欣，一九五五年生，台灣省新竹縣人。世界新專編採科畢業，現任中國時報特派記者陳愛珠，一九六0年生，高雄市人。輔仁大學大傳畢業，現任中國時報特派記者。毛熾倫，一九五一年生，山東省泰安縣人。私立東吳大學中文系畢業，現任中國時報特派記者。羅際鴻，一九五四年生，台灣省新竹縣人。私立文化大學新聞系畢業，現任中國時報記者邱國堂，一九四九年生，台灣省苗栗縣人。屏東農專農田水利科畢業，現任中國時報特派記者。朱虔，一九五三年生，山東省惠民縣人。私立文化大學新聞系畢業，現任中國時報記者。,中國時報,新竹社區與科學園區結構性衝突與矛盾,本專題報導對於新竹科學園區所引發的諸多問題，如：與新竹縣市的互動、園區帶動地方繁榮、污染問題、內部成本外部化，園區子弟教育、用水問題等，進行共十四篇的系列報導。議題重要，具新聞性，企劃面向完整，報導具深度，充分表現團隊精神。
89,15,文化專題報導獎,趙慧琳，一九六四年生，台灣省台中縣人。美國愛荷華州立大學教媒影藝學碩士，現任聯合報藝文記者。,聯合報,文化家園重建系列報導,本系列報導最大特色在於把地震災難事件的新聞報導，擴大到對災區社群人聞現象的貼近觀察，深入討論地方草根文化和社區營造的力量如何參與災區重建，與座落於災區中的歷史性民宅所遭受的浩劫；以及災區重建和聚落社群歷史文化傳統的特性。報導深具人文關懷，記者的寫作和觀察都極具深度。
90,15,新聞攝影獎,邱勝旺，一九六0年生，台灣省台南縣人。私立文化大學新聞系畢業，現任聯合報攝影組召集人記者。,聯合晚報,大地悲鳴,本系列由六張照片組成，其內容包括崩塌的大樓、進入火場救援、身首異處的佛像、哀傷祝禱的家屬、以泡麵果腹的歡欣兒童，和維修高壓電塔的工程人員。取材範圍廣，主題完只，構圖帶有悲情中的美感，誠然為不可多得之佳作。
91,15,新聞漫畫獎,從缺,從缺,從缺,從缺
92,15,雜誌新聞報導獎,李永通，一九六四年生，廣東省曲江縣人。國立政治大學哲學系畢業，現任國家地理雜誌主編。,聯合晚報,探索地震島系列〈1~4〉,得獎作品再一九二一年地震釀成巨災後很短時間內完成，使讀者可以迅速掌握地震相關資訊，包括台灣地震代的地質分析、地表的歷史溯源。得獎人還遠赴舊金山，蒐集該區震災資料，以供比較。內文並摘錄地質學者的分析建議，是一篇充實而又具新聞性的報導。圖片資料尤其令人印象深刻，充分發揮了雜誌的告知及教育功能。
93,16,新聞專題報導獎,張運祥，一九五六年生，江蘇省寶山縣人。私立世界新專傳播學院編採科畢業，現任經濟日報記者。,經濟日報,現代西潮系列報導,企劃周詳，新聞性強，獨到見解，採訪功力足，表現手法活潑，能夠掌握兩岸經貿關係演變大方向。
94,16,新聞採訪報導獎,陽湘鈞，一九六七年生，湖南省桃源縣人。國立政治大學法律研究所碩士班〈在職生〉，現任聯合報記者。,聯合報,被遺忘在非洲的台灣種籽系列報導,本系列報導企劃周全，採訪難度高，報導內容充滿人間關懷，並且注重當事人權益，反映出台灣再努力拓展外交關係時，為人所疏忽的層面，是極有獨到見解之作品。
95,16,新聞評論獎,林河名，一九六七年生，台灣省台南縣人。私立東海大學法學碩士，現任聯合報採訪記者。,聯合報,等待法治國-司法、立法、及政治的異象與糾結,針對當時法律有關之新聞，迅速加以評析，以短評方式表現，突破長篇大論舊規，足以增加閱讀率，殊堪嘉許。
96,16,地方新聞獎,周維新等九人周維新，一九六一年生，私立文化大學新聞系畢業，現任聯合報記者。董智森，一九五二年生，福建省金門縣人。現任聯合報記者。牛慶福，一九五八年生，台灣省高雄縣人。現任聯合報記者。王一中，一九五二年生，四川省人。現任聯合報記者。張仁豪，一九五八年生，台灣省彰化縣人。現任聯合報記者。范植明，一九五二年生，湖北省人。現聯合報記者。陳智華，一九四四年生，江西省人。現任聯合報記者。吳淑俊，一九四九年生，安徽省人。現任聯合報記者。,聯合報,「探索台北」─結合民調的主動式深入報導系列報導,針對地方重點問題，結合民調與探討，系統化深入報導，設計與綜合處理亦具專業功力。
97,16,文化專題報導獎,趙慧琳，一九六四年生，台中省台中縣人。美國愛荷華州立大學教媒影藝學碩士，現任聯合報記者。,聯合報,「新興潮流─國民美術」系列報導,觀察一個相當特殊的文化現象，驅動一種新的思老模式─美術也可以很平民。從其生動的討論、報導，至少讓人深刻的感受到這樣的可能性。無論你同不同意稱之為「美術」，或是否確定以形成「潮流」。
98,16,新聞攝影獎,曾吉松，一九六二年生，台灣省雲林縣人。私立世界新專傳播學院印刷攝影科畢業，現任聯合晚報攝影記者。,聯合晚報,明天在哪裡？,掌握剎那時機，捕捉新聞性頗強之鏡頭；單以畫面即已呈現新聞主題，不需依賴說明文字。所報導題材頗針對當前凸出之新聞焦點。
99,16,新聞漫畫獎,從缺,從缺,從缺,從缺
100,16,雜誌新聞報導獎,楊瑪莉，一九六四年生，台灣省台南縣人。澳洲國立大學環境管理研究所碩士，現任天下雜誌副總編輯。陳良裕，一九七三年生，台灣省嘉義縣人。台大新研所碩士，現任天下雜誌記者。,天下雜誌,全球沙漠化風暴強烈吹向台灣系列─阿公店水庫更新計畫,議題重要，喚起讀者對此問題之關注與瞭解，值得肯定。報導具深度，可看性高，警示人們對土地的疏忽將會肇致無可轉寰的遺憾。
101,17,新聞專題報導獎,卓亞雄先生，一九五三年生，湖北省武昌縣人。東海大學政治系畢業，曾任聯合報編輯部採訪中心副主任，現任聯合報編輯部中央台核稿特派員。,聯合報,錯誤的重建是升高下次災害的肇因,報導詳盡生動地描述了颱風造成的重大災情。作者並以敏銳的觀察和訪談，分析了災後的重建工程，明確地指出經濟發展和政府措施的連環錯誤，及其對社會的嚴重影響，質量兼具，是難得的調查報導典範。
102,17,新聞採訪報導獎,梁東屏先生，一九五一年生，廣東省恩平縣人。文化大學新聞系畢業，曾任中時晚報國際組主任，現任中國時報駐東南亞特派員。,中國時報,深入阿富汗系列報導,孤身深入戰區，任務十分艱鉅，報導對塔里班政權的迅速瓦解，從歷史、種族、政治、軍事等角度，提供了甚有說服力的分析。也顯示重建工作的困難，與阿國人民的不確定感。對目光多被吸引到國內八卦的讀者，這樣有如文明衝突啟示錄的報導，應有一定的震撼力。
103,17,新聞評論獎,從缺,從缺,從缺,從缺
104,17,地方新聞獎,林松青先生等廿人林松青先生，一九五二年生，福建省林森縣人。輔仁大學大眾傳播系畢業，曾任聯合報地方特派員，現任聯合報全台新聞指導調度副主任。,聯合報,荒蕪的美景公共建設浪費的殷鑑系列報導,針對企劃性議題，進行系列性報導，廣泛地揭露並呈現政府在地方公共建設上之疏失與不當措施，喚起社會大眾對地方建設問題的關注與重視，頗能發揮媒體監聽環境之功能。
105,17,文化專題報導獎,曹銘宗先生，一九五六年生，台灣省基隆市人。美國北德州大學新聞系碩士，曾任聯合報家庭生活版主編，現任聯合報文化版記者。,聯合報,回來做番：當代平埔的族群認同與文化復興,對長久被忽略的平埔族議題做深入的報導。企劃周延、採訪觀察的用心與文字的可讀性，拉近一般讀者與平埔族文化的距離，有助於多元族群文化的尊重。
106,17,新聞攝影獎,方賓照先生，一九六九年生，台灣省彰化縣人。文化大學新聞系畢業，曾任中央日報攝影記者，現任自由時報攝影記者。,自由時報,無奈的小市民,鮮活呈現納莉颱風重創台灣後小市民的生活面貌。圖像中沒有悲情與憤怒，呈現的是一種無奈之餘，面對生活的幽默感與繼續向前的生命力。
107,17,新聞漫畫獎,從缺,從缺,從缺,從缺
108,17,雜誌新聞報導獎,黃惠如小姐，一九六九年生，台灣省屏東縣人。文化大學日文研究所碩士，曾任日本文摘主編，現任康健雜誌資深記者兼採訪召集人。,康健雜誌,台灣水產品重金屬污染世界第一,從水產污染牽引到政府與民間處理公共問題的「問題」，促醒讀者對公共事務進一步關注。主題鮮明，企劃周延，多面採訪，深入探討。
109,18,新聞專題報導獎,林照真小姐，一九六Ｏ年生，台灣省屏東縣人。世新大學傳播學研究所博士班研究生，一九八七年服務於中國時報，現任中國時報資深記者。,中國時報,戰慄土石流,作者以經練的筆觸，深入剖析台灣土石流的問題，具啟發與警世作用，族以為調查報導之優良典範。
110,18,新聞採訪報導獎,許峻彬先生，一九七四年生，台灣省台南縣人。台灣大學歷史系畢業，現任聯合報記者。,聯合報,SARS風暴最前線—抗疫全記錄,堅強的團隊分工採訪全民抗疫情況，詳實記載疫情始末，深入調查追蹤感染途徑。內容兼顧理性分析與人性關懷，充分發揮媒體監督環境之功能。
111,18,地方新聞獎,林明宏先生，一九六五年生，台灣省南投縣人。中國文化大學園藝、新聞雙學士，一九九四年起服務於自由時報，現任自由時報南投新聞小組副召集人。,自由時報,閱讀心世界,介紹了南投這個很典型的台灣「地方」，正面臨了一個怎麼樣的精神食糧問題，其地方人士又是如何共同來解決它。報導生動且深入，實屬佳作。
112,18,文化專題報導獎,曹銘宗先生，一九五六年生，台灣省基隆市人。美國北德州大學新聞系碩士，一九八六年起美國北德州大學新聞系碩士，一九八六年起服務於聯合報，現任聯合報文化版記者。,聯合報,「另類西施：檳榔西施的文化觀察」系列報導,從藝術、色情、消費等不同角度，廣泛而有系統報導檳榔西施在台灣社會文化的面象，平實客觀，發人省思。
113,18,新聞攝影獎,陳世顏先生，一九七八年生，台灣省雲林縣人。世新大學平面傳播科技學系畢業，曾任中國時報攝影記者，現任聯合報攝影記者。,聯合報,監護權的愛恨爭戰,落魄男子攜女在鬧區天橋舉刀自殘後又意圖自上跳下，救難人員在天橋下待命救援。畫面驚悚具震撼力，既富新聞性，又能反應當下的社會、家庭與婚姻問題，以及某些人對子女監護權的偏執態度。
114,18,新聞漫畫獎,從缺,從缺,從缺,從缺
115,18,雜誌新聞報導獎,楊艾俐小姐，一九五二年生，湖南省筱縣人。美國UniversityofD.C.傳播學碩士，現任天下雜誌海外特派員。宋秉忠先生，一九六四年生，山東省即墨縣人。政治大學東亞研究所碩士，現任天下雜誌資深記者。陳良榕先生，一九七三年生，台灣省彰化縣人。國立台灣大學新聞研究所碩士，現任天下雜誌記者。,天下雜誌社,台灣變貌,全球性的移民風潮，在台灣以其獨特的方式呈現，反映了現今台灣社會，經濟乃至文化的特殊情況，圖文的表達自然而貼切。
116,18,雜誌新聞報導獎,黃創夏先生，一九六五年生，廣東省潮陽縣人。台灣大學政治研究所研究生，曾任中國時報撰述委員，現任商業週刊資深撰述。郭奕伶小姐，一九七一年生，台灣省人，台灣大學經濟系畢業，曾任工商時報記者，現任商業週刊主筆。,商業周刊,新窮人,用鮮活的實例和數據，生動刻畫出在全球化的浪潮下，台灣難以置外的「新貧」現象。報導觸角敏銳、視野宏觀，深具預警趨勢的可讀性。
117,19,新聞即時報導獎,王瑞伶小姐，一九六三年生，高雄市人；輔仁大學大眾傳播學系畢業，曾任職於台灣新聞報，現為聯合報編輯部記者。,聯合報,電影『羅倫佐的油』台灣真實版－高雄張家三兄弟赴美求醫錄,從生命關懷著眼，呈露罕見病例與高額醫療負擔的人生現實，發揮新聞報導的積極功能。掌握時機，及時報導，引發立即有效反應，展現新聞媒體快速廣被的影響力，順帶測試出社會大眾的人情味，愛心與急難救助的潛力。
118,19,新聞深度報導獎(共七人),何榮幸先生，一九六六年生，台灣省南投縣人；台灣大學社會系畢業，曾任職於自由時報，現為中國時報政治組副主任。黎珍珍小姐，一九六七年生，清大外語系畢業，曾任中央社記者、自由時報記者，現為中國時報政治組記者。蕭旭岑先生，一九七四年生，台灣省南投縣人。政大新聞研究所畢業。曾任職於聯合報，現為中國時報政治組記者。陳重生先生，一九六五年生，台北市人。政大東亞所博士班學生。曾為新新聞週刊及中時晚報記者，現為中國時報政治組記者。江慧真小姐，一九六九年生，台北市人；西班牙Damplona大學研究所，曾任職於新新聞、商業週刊、公視等，現為中國時報政治組記者。高有智先生，一九七五年生，高雄縣人。台大新聞研究所畢業。現為中國時報政治組記者。陳嘉宏先生，一九六九年生，台中市人。政大中山所畢業。曾任商業周刊記者，現為中國時報政治組記者。,中國時報,『體檢公共建設』－台灣公共建設閒置浪費的診斷與對策,發掘探討台灣公共建設閒置浪費的具體狀況，深入探析問題癥結及可供參考的對應策略。掌握影響國計民生重要題材，整體週延企劃，報導兼具深度與廣度，採訪落實，析判有明確依據。
119,19,新聞評論獎,曾巨威先生，一九五一年生，福建省平和縣人；美國奧克拉荷馬州立大學經濟學博士，曾任行政院財政改革委員會委員、總統府經濟發展諮詢委員會分組召集人，現為工商時報主筆室主筆。,工商時報,租稅改革與最低稅負制,針對最低稅負問題作系列探討、評析、論述，對主其事的當局與社會大眾，都有相當的提示與參考價值。專業角度，深入淺出，面向廣闊地專注評論，切及國計民生的重要公共政策。
120,19,國際新聞報導獎(共二人),張慧英小姐，一九六0年生，福建省永定縣人；英國倫敦政經學院國際開發研究所，曾任中國時報主任記者、採訪中心副主任，現為中國時報編輯部副總編輯。陳一姍小姐，一九七四年生，江蘇省江都縣人；美國紐約哥倫比亞大學國際與公共事務學院碩士，曾任天下雜誌記者，現為中國時報財經主編室記者。,中國時報,蛻變中的韓國,有計畫的設計採訪，把握關鍵重點，探析韓國蛻變新貌，著重政治外交領域，旁及韓國與中國兩岸的錯綜關係。取材與訪談對象均頗獨到，運用素材以事實呈現所欲強調的焦點，兼又發揮剖析作用及引發讀者的省思。
121,19,地方新聞報導獎(共六人),潘國正先生，一九五七年生，台灣省新竹市人；交通大學傳播科技研究所畢業，現任中國時報新聞採訪處特派員。何高祿先生，一九四八年生，中華大學經營管理研究所畢業，現為中國時報新竹召集人。羅浚濱先生，一九六四年生，淡江大學大眾傳播系畢業，現為中國時報特派記者。陳愛珠小姐，一九五六年生，輔仁大學大眾傳播系畢業，現為中國時報特派記者。羅際鴻先生，一九五四年生，文化大學新聞系畢業，現為中國時報特派記者。劉瑞祺先生，一九五二年生，世界新聞專科學校編採科畢業，現為中國時報特派記者。,中國時報,耗費63億建內灣線捷運，通嗎？,針對特定重要地方建設問題，多角度系列採訪報導，深入發掘及剖析問題癥結，引發社會迴響，促使相關單位重作評估。採訪廣被深入，完整呈現相關具體事實，反映問題根由。
122,19,文化專題報導獎(共五人),曹銘宗先生，一九五六年生，台灣省基隆市人；美國北德州大學新聞系碩士，現任聯合報文化組記者。李玉玲小姐，一九六三年生，台北市人；政大新聞系畢業，現為聯合報文化組記者。陳宛茜小姐，一九七四年生，台灣省嘉義縣人；倫敦大學瑪麗女皇學院城市文化研究所碩士，現為聯合報綜藝中心文化組記者。周美惠小姐，一九六三年生，台灣澎湖縣人；輔仁大學大眾傳播系畢業，現為聯合報綜藝新聞中心撰述委員。黃俊銘先生，一九七四年生，台灣省桃園縣人；國立台北藝術大學音樂研究所碩士，曾任表演藝術雜誌編輯，現為聯合報綜藝新聞中心文化組。,聯合報,數化@文化.tw,探討數位科學與文化發展，採訪遍及文化事業諸多層面，引領讀者注意新文化趨勢與未來變化。選擇主題及取材方向，頗具創見，報導掌握時代脈動。
123,19,雜誌專題報導獎（共五人）,殷允芃小姐，一九四一年生，山東省滕縣人；美國愛荷華大學新聞碩士，曾任美國費城詢問報記者、合眾國際社記者、亞洲華爾街日報駐華特派員，現為天下雜誌股份有限公司發行人兼總編輯長。李雪莉小姐，一九七五年生，台灣省桃園縣人，加拿大Sauv'eFoundation與Mcgill大學訪問學人，曾任聯合晚報文化科技組記者、天下雜誌資深記者、召集人，現任天下雜誌編輯部副主編。呂世芬小姐，一九五八年生，山東省黃縣人；政治大學新聞系畢業，現任天下雜誌資料室資料研究員。陳良榕先生，一九七三年生，台灣省彰化縣人，台灣大學新聞研究所碩士，現任天下雜誌記者。孫珮瑜小姐，一九七九年生，高雄市人；倫敦政經學院媒體與全球化碩士，現任天下雜誌編輯部記者。,天下雜誌社,韓國有夢所以躍升,探訪韓國重振再起現象，剖析其因素與條件，引領我國朝野省思。企劃周延，採訪深入諸多層面，發掘問題與選取資訊，均能掌握核心重點，切中要竅。
124,19,新聞攝影獎,丁志寬先生，一九六六年生，山東省諸城縣人；朝陽科技大學畢業，曾任中央日報攝影記者，現為聯合報新聞攝影中心記者。,聯合報,一線生機,人物表情、動作、環境背景及相關器物，呈現相應相生的整體感覺，剎那之間掌握如此勻稱的畫面，是新聞攝影的難能表現。鏡頭下展現的氣氛、動態，人與自然的對比，影像強弱的配分，都頗出色。
125,20,新聞即時報導獎,陳怡如等二十四人。,聯合報,洞燭ETC敗象系列報導,先期報導ETC電子收費系統申辦過程及相關弊象疑點，及時緊隨法院判決，持續追蹤採訪探析。掌握時機，揭舉對公共事務處理之不當，發揮新聞媒體監督不法及維護大眾利益的功能。
126,20,新聞深度報導獎,羅如蘭、沈揮勝、戴志揚,中國時報,毒品問題,針對危害社會的毒品問題，緣人、地與事的個案，透顯其間的陰黯、禍害、罪惡、災殃。深入當事者內心及事件相關環境，作寫實的報導與處理，藉撼振力量，促發公眾的警惕與有關單位的嚴正重視。
127,20,新聞評論獎,倪炎元,中國時報,言論自由沒有讓步的空間,以言論自由為主題，系列貫串評論，引據豐富，說理明確，表述清晰，探討深入。就當前現實的爭議事例，導引有關各方面及公眾對民主自由社會第四權運用的關切與省思。
128,20,國際新聞報導獎,張慧英、陳一姍,中國時報,裝上翅膀的大象-印度專題,探索印度快速崛起的現象與原因，分從政治、經濟、社會、文化教育等面向切入、剖析，探討、訪談、實地觀察與資料交叉運用，條理清晰，可讀性高，深度廣度均能兼顧。藉他山之石，擴展相關人士與讀者視野，是媒體在當前全球化浪潮中，處理國際新聞的佳例。
129,20,地方新聞報導獎,胡宗鳳等五十七人,聯合報,口號、建設、幻景系列報導,多角度廣面探掘若干縣市公共建設的敗敝、虛蕪，凝顯選舉綁樁，導致各級政府濫費公帑、浮誇政績，既惡化財政又復引發貪腐。動員各地方眾多採訪點，設計交織成對一全國性公共事件龐大有力的揭舉，使地方新聞的影響力突破地區性的局限。
130,20,文化專題報導獎,梁玉芳等二十三人,聯合報,家變與職變─台灣社會文化變貌的切片觀察,就職場與家庭，這一現代人所面臨的現實與傳統文化意識潛在影響形成的激盪，多角度採訪事例現象，對比呈現，引述剖析問題癥結。採訪及報導處理規畫周延，探觸層面頗廣。對若干事態，作切入探析。引領大眾面對在時代與環境快速變遷中的社會變貌。
131,20,雜誌專題報導獎,劉佩修、賀先蕙、鄭呈皇,商業周刊,一個台灣，兩個世界─大象男孩與機器女孩,藉由兩個殘障孩童奮力向上的感人故事，探討當前社會福利制度，在照顧殘障孩童等方面亟需解決的問題。從人性關懷面切入，伸展到制度面的析判，並引舉國際間著有績效的成例。感性與積極作用均有表現。
132,20,新聞攝影獎,本屆此項目得獎從缺,,本屆此項目得獎從缺,本屆此項目得獎從缺
133,21,新聞即時報導獎,唐秀麗女士等8人,聯合報,「脈優錠假藥追追追」系列報導,聯合報嘉義縣地方記者獨家揭露高血壓藥「脈優錠假藥事件」後，持續追蹤事件發展，表現優異。本系列報導攸關民眾醫療安全，議題重要，且採訪難度高。地方記者因為用心，使其報導之新聞產生全國性影響力，值得肯定。
134,21,新聞深度報導獎,蕭美惠女士等5人,工商時報,「亞洲金融風暴10週年」,1997年亞洲金融風暴爆發迄今滿十年，本系列報導共分：泰國篇;馬來西亞篇;印尼、菲律賓篇;新加坡篇;日本篇以及台灣篇，深入探討東北亞、東南亞的這幾個國家，在金融風暴後如何因應，各採取何種措施使其經濟能起死回生。本系列並探討台灣如何在十年前因股匯市穩定，財政無赤字，安渡金融風暴，卻如何在十年後，其出口動能反在亞洲四小龍中殿後的原因。系列規劃完整，議題對於區域經濟的瞭解有其重要性，兼具深度與廣度。
135,21,國際新聞報導獎,楊瑪利女士、黃漢華女士、林孟儀女士,遠見雜誌,不老革命,台灣是全球老化速度最快的國家之一，造成台灣中長期國家發展上的嚴重危機，政府與民間均應認真重視並綢繆對策。本專題到鄰國日本取經，瞭解日本如何因應人口減少及人口老化的問題，採訪報導日本政府如何推動老人介護強制險，如何搶救300萬退休勞動力，如何鼓勵生育。專題中並輔以「台灣人退休關調查」，讓讀者瞭解台灣人對於退休的看法。記者從日本經驗探討，以國際角度反思本國問題，頗具價值。
136,21,地方新聞報導獎,林宜靜女士等7人,聯合報,關渡平原土壤砷污染調查系列報導,本系列報導獨家揭露關渡平原一百多公頃面積的土地遭重金屬砷污染，報導過程中取得台大生態工程研究中心的研究報告，記者並沿昔日農田水利灌溉渠道，找到上游北投地熱谷河岸污染源。本系列報導之議題攸關民眾與農民權益甚巨，報導後引發政府相關單位重視，著手訪查關渡平原農戶健康，禁止遭污染土壤所生產知道作流入市面，確實盡到媒體監視環境的功能。
137,21,文化專題報導獎,林正峰先生、孫秀惠女士,商業周刊,快樂國-不丹,本專題深入不丹採訪不丹國內政部長、農民、記者、企業家等各行各業的人，探討不丹這個人均所得不到一千四百美元的窮國，何以能在2006年七月發佈的英國新經濟基金會報告中，快樂指數名列全球第八，遠遠超過日本、美國等所謂的富裕國家。本專題不僅採訪面廣，報導角度多元，且文筆細膩動人，使讀者在接受資訊的同時，也受到很大的感動。本文中所揭櫫的文化價值觀，頗值得現階段台灣的反省與學習。
138,21,雜誌專題報導獎,蕭富元女士等6人,天下雜誌,全球暖化-台灣不願面對的真相,全球暖化議題已經是全球性重大議題，本篇報導將全球議題「在地化」報導，值得肯定。本專題費時兩個半月調查訪問，從氣候變異、農業、漁業、生命財產安全，以及公衛等多元角度切入，分析台灣氣候暖化的原因，更積極的告訴讀者可以如何加入協助，使暖化現象減緩。本專題議題重要，規劃完整，報導翔實，且不只分析問題，更提出解決的方法，具積極正面性。
139,21,新聞攝影獎,陳應欽先生,遠見雜誌,上學好難-我的學校不見了,跳脫老、殘、貧、病等新聞攝影慣有的陳腐題材，從嚴肅的教育議題中，犀利地切出饒富趣味卻不偏離主軸的小角度，証明嚴肅題材在表現方式上不必然會僵硬死板。整組照片在新鮮與奇趣之中，添加一絲不著痕跡的辛酸和心疼，展現採訪攝影上的巧思和關懷。中景、廣角和特寫搭配大致得宜。瀏覽過程中，鏡頭的透視效果有開有閤，不致一成不變讓視覺疲乏。照片選擇和編輯上或可再求精進。看書畫面和通學工具分別八佔其三，比例偏高且稍嫌重複，似可再精簡或加入其它層面之照片，讓讀者看到更多不同觀察點。其它如荒廢之校園、通學不便造成的各種困擾和小朋友（或家長）更明顯的情緒感受及互動等，均為可納入之面向，可豐富切面和訊息，對深度和完整度都有幫助。
140,22,新聞即時報導獎,王瑞伶等19人,聯合報,烏龍運動測速器和固定桿感應式線圈測速器真相大追擊,本篇報導以民眾舉發為起點，在地方記者與總社編輯部的通力合作下，歷經五個多月深入追蹤報導，揭露長期使用的道路測速設備不符規格，未經國家標準檢驗，並迫使相關單位承認缺失，停用有問題的設備。記者抽絲撥繭，讓證據說話，以及鍥而不捨，讓真相浮現的精神，殊堪肯定。而相關單位在報導的影響下，俯首面對用路人權益，亦為媒體的公共服務功能立下良好範例。
141,22,新聞深度報導獎,吳錦勳、李盈穎,商業周刊,一間公司幹掉一個王國,1997年亞洲金融風暴爆發迄今滿十年，本系列報導共分：泰國篇;馬來西亞篇;印尼、菲律賓篇;新加坡篇;日本篇以及台灣篇，深入探討東北亞、東南亞的這幾個國家，在金融風暴後如何因應，各採取何種措施使其經濟能起死回生。本系列並探討台灣如何在十年前因股匯市穩定，財政無赤字，安渡金融風暴，卻如何在十年後，其出口動能反在亞洲四小龍中殿後的原因。系列規劃完整，議題對於區域經濟的瞭解有其重要性，兼具深度與廣度。
142,22,新聞評論獎,黃年,聯合報,第二次政黨輪替後的國家認同與兩岸關係,參賽作品所論所見雖有其立足點，而未必能得到一致認同，惟作者價值體系一以貫之，邏輯思維自我圓成，各篇文章論述井然、筆力雄健，所論主題亦用心深切、迭有創見，允為評論佳作。
143,22,國際新聞報導獎,楊瑪利、江逸之、徐仁全、高宜凡、林妙玲,遠見雜誌,全球飆機場,本篇報導將機場不只視為機場，而是一個多功能的現代新興城市，也是全球化的新核心，報導構想頗具創意。在報導的執行上，作者成功的透過深度採訪與資料搜集，傳遞全球機場發展的第一手資訊，開拓讀者另類思考的國際視野。對於身處全球競爭的台灣而言，雖然各國情勢與條件有異，不同個案的對照仍足為他山之石。
144,22,地方新聞報導獎,劉英純、黃馨儀、許俊偉,中國時報,丹頂鶴一家四口來台記事,稀有的丹頂鶴落腳台灣，引發一連串觀賞風與保育戰。作者以溫馨筆調撰稿、展現人情趣味，持續追蹤報導達半年之久，充分顯現對土地與生態的關懷。尤其丹頂鶴曾一度失去蹤跡，作者仍持續守望，誠為不可多得的活教材。
145,22,文化專題報導獎,李雪莉等8人,天下雜誌,15至24歲關鍵十年的獨立與探索,青少年的處境、生活與成長備受關注，亦不乏媒體關注，但往往失之浮泛或片面。本篇報導從廣義文化的關懷著眼，全面、深入且創新地探討台灣七年級生的種種課題，生動的筆調、清晰的理路與豐富的資訊兼備，加上國外案例與國內民調，是對青少年有積極鼓勵，對家長有高度啟發的報導。
